frame,time,shoulder_pan_raw,shoulder_lift_raw,elbow_flex_raw,wrist_flex_raw,wrist_roll_raw,gripper_raw
107,3.566666666666667,2072,1615,1231,780,806,1601
108,3.6,2072,1615,1210,779,795,1601
109,3.6333333333333333,2072,1617,1186,778,785,1601
110,3.6666666666666665,2071,1623,1157,780,779,1601
111,3.7,2071,1629,1133,782,769,1601
112,3.7333333333333334,2069,1632,1108,782,758,1601
113,3.7666666666666666,2068,1636,1086,784,747,1601
114,3.8,2065,1641,1065,789,742,1601
115,3.8333333333333335,2062,1647,1040,796,741,1601
116,3.8666666666666667,2058,1652,1017,806,741,1601
117,3.9,2056,1657,995,815,740,1601
118,3.933333333333333,2056,1661,975,821,739,1601
119,3.966666666666667,2055,1664,957,826,739,1601
120,4.0,2054,1665,941,828,739,1601
121,4.033333333333333,2053,1667,922,832,739,1601
122,4.066666666666666,2053,1669,903,836,739,1601
123,4.1,2053,1669,884,838,739,1601
124,4.133333333333334,2053,1668,871,843,739,1601
125,4.166666666666667,2053,1662,860,852,739,1601
126,4.2,2053,1646,860,853,739,1601
127,4.233333333333333,2053,1631,860,858,739,1601
128,4.266666666666667,2053,1614,860,863,740,1601
129,4.3,2053,1597,860,865,740,1601
130,4.333333333333333,2052,1582,860,863,739,1601
131,4.366666666666666,2052,1570,860,857,739,1601
132,4.4,2051,1559,860,844,739,1601
133,4.433333333333334,2049,1547,860,838,739,1601
134,4.466666666666667,2049,1536,858,832,739,1601
135,4.5,2049,1526,858,831,739,1601
136,4.533333333333333,2047,1516,858,831,739,1601
137,4.566666666666666,2046,1508,858,831,739,1601
138,4.6,2045,1501,858,832,739,1601
139,4.633333333333334,2045,1494,858,837,739,1601
140,4.666666666666667,2044,1487,858,839,740,1601
141,4.7,2041,1480,858,843,740,1601
142,4.733333333333333,2038,1473,858,847,740,1601
143,4.766666666666667,2035,1466,857,850,740,1601
144,4.8,2035,1458,857,854,739,1601
145,4.833333333333333,2035,1451,857,859,737,1601
146,4.866666666666666,2035,1442,857,865,736,1601
147,4.9,2035,1435,857,869,734,1601
148,4.933333333333334,2035,1428,857,875,731,1601
149,4.966666666666667,2035,1422,857,880,730,1601
150,5.0,2034,1416,857,884,729,1601
151,5.033333333333333,2034,1411,857,886,725,1601
152,5.066666666666666,2034,1405,857,891,720,1601
153,5.1,2034,1400,857,894,716,1601
154,5.133333333333334,2034,1395,857,897,714,1601
155,5.166666666666667,2034,1392,857,901,714,1601
156,5.2,2034,1389,857,903,714,1601
157,5.233333333333333,2034,1385,857,908,714,1601
158,5.266666666666667,2034,1383,857,916,714,1601
159,5.3,2034,1380,857,923,714,1601
160,5.333333333333333,2034,1378,857,934,714,1601
161,5.366666666666666,2034,1376,856,941,713,1601
162,5.4,2034,1375,856,949,713,1601
163,5.433333333333334,2034,1374,856,955,713,1601
164,5.466666666666667,2035,1373,856,960,713,1601
165,5.5,2038,1370,856,965,713,1601
166,5.533333333333333,2040,1368,856,965,712,1601
167,5.566666666666666,2042,1366,856,965,712,1601
168,5.6,2045,1364,856,964,712,1601
169,5.633333333333334,2048,1361,856,964,710,1601
170,5.666666666666667,2050,1357,856,965,710,1601
171,5.7,2051,1353,856,965,710,1601
172,5.733333333333333,2052,1348,856,965,712,1601
173,5.766666666666667,2052,1344,856,962,712,1601
174,5.8,2052,1340,856,961,712,1601
175,5.833333333333333,2054,1337,856,960,712,1601
176,5.866666666666666,2056,1334,856,960,712,1601
177,5.9,2060,1331,856,960,713,1601
178,5.933333333333334,2063,1330,856,962,713,1601
