frame,time,shoulder_pan_raw,shoulder_lift_raw,elbow_flex_raw,wrist_flex_raw,wrist_roll_raw,gripper_raw
0,0.0,2025,856,3067,762,905,1601
1,0.03333333333333333,2025,856,3067,762,905,1601
2,0.06666666666666667,2025,856,3067,762,905,1601
3,0.1,2025,856,3067,762,905,1601
4,0.13333333333333333,2025,856,3067,762,905,1601
5,0.16666666666666666,2025,856,3067,762,905,1601
6,0.2,2025,856,3067,762,905,1601
7,0.23333333333333334,2025,856,3067,762,905,1601
8,0.26666666666666666,2025,856,3067,762,905,1601
9,0.3,2025,856,3067,762,905,1601
10,0.3333333333333333,2025,856,3067,762,905,1601
11,0.36666666666666664,2025,856,3067,762,905,1601
12,0.4,2025,856,3067,762,905,1601
13,0.43333333333333335,2025,856,3067,762,905,1601
14,0.4666666666666667,2025,856,3067,762,905,1601
15,0.5,2025,856,3067,762,906,1601
16,0.5333333333333333,2025,856,3066,762,911,1601
17,0.5666666666666667,2025,856,3063,762,917,1601
18,0.6,2025,856,3062,762,919,1601
19,0.6333333333333333,2025,856,3062,762,921,1601
20,0.6666666666666666,2025,856,3062,762,921,1601
21,0.7,2025,856,3062,762,921,1601
22,0.7333333333333333,2025,859,3061,762,921,1601
23,0.7666666666666667,2025,863,3058,762,921,1601
24,0.8,2025,871,3054,762,921,1601
25,0.8333333333333334,2025,880,3045,763,921,1601
26,0.8666666666666667,2025,890,3038,763,921,1601
27,0.9,2025,900,3029,763,921,1601
28,0.9333333333333333,2025,910,3018,763,921,1601
29,0.9666666666666667,2025,922,3006,763,921,1601
30,1.0,2025,935,2991,763,921,1601
31,1.0333333333333334,2025,951,2976,763,921,1601
32,1.0666666666666667,2025,964,2960,763,921,1601
33,1.1,2025,978,2945,763,921,1601
34,1.1333333333333333,2025,990,2929,764,921,1601
35,1.1666666666666667,2024,1000,2915,768,921,1601
36,1.2,2023,1006,2902,777,921,1601
37,1.2333333333333334,2021,1012,2890,785,921,1602
38,1.2666666666666666,2020,1016,2880,798,921,1603
39,1.3,2019,1020,2870,812,921,1603
40,1.3333333333333333,2018,1023,2860,831,921,1603
41,1.3666666666666667,2017,1026,2851,853,922,1603
42,1.4,2017,1027,2838,880,922,1603
43,1.4333333333333333,2016,1030,2828,907,922,1603
44,1.4666666666666666,2015,1031,2817,938,922,1603
45,1.5,2014,1033,2806,970,922,1603
46,1.5333333333333334,2013,1034,2798,1003,922,1603
47,1.5666666666666667,2011,1035,2789,1035,923,1603
48,1.6,2010,1036,2782,1062,923,1603
49,1.6333333333333333,2008,1036,2774,1090,923,1603
50,1.6666666666666667,2006,1037,2767,1119,923,1603
51,1.7,2004,1038,2761,1151,923,1603
52,1.7333333333333334,2001,1038,2753,1185,923,1603
53,1.7666666666666666,1999,1038,2746,1228,923,1603
54,1.8,1996,1038,2737,1272,923,1603
55,1.8333333333333333,1994,1038,2730,1320,923,1603
56,1.8666666666666667,1992,1038,2723,1365,923,1602
57,1.9,1991,1039,2717,1404,923,1602
58,1.9333333333333333,1988,1040,2710,1444,923,1602
59,1.9666666666666666,1986,1041,2705,1484,923,1602
60,2.0,1985,1042,2702,1524,923,1602
61,2.033333333333333,1983,1044,2699,1554,923,1602
62,2.066666666666667,1982,1045,2698,1588,923,1602
63,2.1,1980,1046,2697,1626,923,1602
64,2.1333333333333333,1980,1046,2696,1665,923,1602
65,2.1666666666666665,1980,1047,2696,1698,925,1602
66,2.2,1980,1048,2694,1737,928,1602
67,2.2333333333333334,1980,1048,2692,1776,928,1602
68,2.2666666666666666,1980,1048,2690,1814,928,1602
69,2.3,1980,1049,2688,1847,928,1602
70,2.3333333333333335,1980,1050,2686,1873,928,1601
71,2.3666666666666667,1980,1050,2685,1897,928,1601
72,2.4,1980,1049,2683,1920,928,1601
73,2.433333333333333,1980,1048,2680,1945,928,1601
74,2.466666666666667,1981,1048,2675,1976,928,1601
75,2.5,1983,1048,2670,2010,928,1601
76,2.533333333333333,1983,1049,2664,2047,928,1601
77,2.566666666666667,1983,1052,2661,2085,928,1601
78,2.6,1983,1053,2656,2122,928,1601
79,2.6333333333333333,1983,1054,2651,2160,928,1601
80,2.6666666666666665,1983,1055,2645,2198,928,1601
81,2.7,1983,1057,2640,2235,928,1601
82,2.7333333333333334,1983,1058,2634,2271,928,1601
83,2.7666666666666666,1983,1059,2629,2302,928,1601
84,2.8,1983,1060,2627,2332,928,1601
85,2.8333333333333335,1982,1061,2622,2364,928,1601
86,2.8666666666666667,1982,1061,2619,2391,928,1601
87,2.9,1982,1061,2616,2420,928,1601
88,2.933333333333333,1982,1061,2611,2450,928,1601
89,2.966666666666667,1981,1062,2605,2477,928,1601
90,3.0,1979,1064,2603,2506,928,1601
91,3.033333333333333,1978,1065,2600,2528,928,1601
92,3.066666666666667,1977,1067,2597,2552,928,1601
93,3.1,1977,1068,2594,2576,928,1601
94,3.1333333333333333,1977,1069,2591,2597,928,1601
95,3.1666666666666665,1977,1071,2584,2626,928,1601
96,3.2,1977,1073,2576,2658,928,1601
97,3.2333333333333334,1977,1078,2565,2685,928,1601
98,3.2666666666666666,1977,1085,2560,2706,928,1601
99,3.3,1977,1092,2554,2727,928,1601
100,3.3333333333333335,1976,1100,2547,2748,928,1601
101,3.3666666666666667,1972,1110,2543,2761,928,1601
102,3.4,1969,1119,2541,2766,928,1601
103,3.433333333333333,1967,1127,2541,2766,928,1601
104,3.466666666666667,1964,1134,2541,2768,928,1601
105,3.5,1961,1142,2541,2769,928,1601
106,3.533333333333333,1960,1153,2541,2773,928,1601
107,3.566666666666667,1960,1167,2539,2775,928,1601
108,3.6,1960,1181,2538,2775,928,1601
109,3.6333333333333333,1960,1192,2538,2770,928,1601
110,3.6666666666666665,1961,1204,2541,2764,928,1601
111,3.7,1964,1215,2541,2759,928,1601
112,3.7333333333333334,1966,1226,2543,2754,928,1601
113,3.7666666666666666,1967,1237,2544,2748,928,1601
114,3.8,1967,1248,2546,2742,928,1601
115,3.8333333333333335,1967,1258,2546,2734,928,1601
116,3.8666666666666667,1967,1269,2546,2728,928,1601
117,3.9,1967,1279,2546,2721,928,1601
118,3.933333333333333,1967,1290,2546,2712,928,1601
119,3.966666666666667,1967,1299,2549,2705,929,1601
120,4.0,1967,1306,2554,2694,934,1601
121,4.033333333333333,1967,1314,2562,2683,938,1601
122,4.066666666666666,1967,1320,2570,2680,941,1601
123,4.1,1967,1322,2576,2678,946,1601
124,4.133333333333334,1967,1325,2584,2677,950,1601
125,4.166666666666667,1968,1328,2591,2674,950,1601
126,4.2,1968,1331,2595,2674,954,1601
127,4.233333333333333,1969,1335,2602,2672,957,1601
128,4.266666666666667,1970,1340,2606,2669,964,1601
129,4.3,1971,1345,2613,2667,969,1601
130,4.333333333333333,1971,1350,2618,2664,971,1601
131,4.366666666666666,1971,1356,2624,2661,971,1601
132,4.4,1971,1364,2630,2654,972,1601
133,4.433333333333334,1971,1371,2638,2645,976,1601
134,4.466666666666667,1971,1376,2646,2635,976,1601
135,4.5,1971,1379,2654,2629,977,1601
136,4.533333333333333,1972,1384,2662,2618,977,1601
137,4.566666666666666,1974,1390,2672,2605,977,1601
138,4.6,1975,1397,2680,2592,977,1601
139,4.633333333333334,1976,1403,2686,2578,977,1601
140,4.666666666666667,1976,1409,2694,2565,977,1601
141,4.7,1977,1414,2702,2554,977,1601
142,4.733333333333333,1978,1419,2708,2541,977,1601
143,4.766666666666667,1978,1424,2715,2525,976,1601
144,4.8,1978,1428,2721,2514,976,1601
145,4.833333333333333,1978,1432,2729,2503,976,1601
146,4.866666666666666,1978,1434,2735,2490,976,1601
147,4.9,1979,1440,2742,2477,976,1601
148,4.933333333333334,1979,1445,2750,2468,976,1601
149,4.966666666666667,1980,1448,2756,2458,973,1601
150,5.0,1981,1452,2763,2444,961,1601
151,5.033333333333333,1982,1455,2769,2429,949,1601
152,5.066666666666666,1982,1456,2778,2407,945,1601
153,5.1,1982,1457,2788,2383,934,1601
154,5.133333333333334,1985,1459,2794,2362,923,1601
155,5.166666666666667,1988,1461,2799,2351,912,1601
156,5.2,1994,1463,2803,2343,901,1601
157,5.233333333333333,2001,1465,2810,2332,891,1601
158,5.266666666666667,2003,1467,2815,2324,881,1601
159,5.3,2003,1473,2820,2310,869,1601
160,5.333333333333333,2003,1479,2826,2293,859,1601
161,5.366666666666666,2003,1485,2831,2278,846,1601
162,5.4,2003,1489,2837,2263,836,1601
163,5.433333333333334,2005,1493,2842,2248,831,1601
164,5.466666666666667,2006,1495,2848,2238,825,1601
165,5.5,2007,1498,2852,2228,821,1601
166,5.533333333333333,2008,1501,2854,2223,821,1601
167,5.566666666666666,2010,1506,2857,2218,820,1601
168,5.6,2011,1515,2857,2212,819,1601
169,5.633333333333334,2011,1521,2857,2208,819,1601
170,5.666666666666667,2012,1526,2859,2199,819,1601
171,5.7,2013,1532,2863,2191,819,1601
172,5.733333333333333,2014,1539,2863,2188,819,1601
173,5.766666666666667,2015,1546,2865,2181,819,1601
174,5.8,2016,1552,2869,2175,819,1601
175,5.833333333333333,2018,1557,2872,2168,819,1601
